"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","","Seasonally adjusted at annual rates","Household income","Dollars","81","millions","6","v1001696792","1.1.1","615496","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v1001696793","1.1.2","364088","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Net mixed income","Dollars","81","millions","6","v1001696794","1.1.3","68496","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Property income received","Dollars","81","millions","6","v1001696795","1.1.4","102048","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Current transfers received","Dollars","81","millions","6","v1001696796","1.1.5","80864","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Household outlays","Dollars","81","millions","6","v1001696797","1.1.6","589856","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Property income paid","Dollars","81","millions","6","v1001696798","1.1.7","42248","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Current transfers paid","Dollars","81","millions","6","v1001696799","1.1.8","169968","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Household final consumption expenditure","Dollars","81","millions","6","v1001696800","1.1.9","377640","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Disposable income ","Dollars","81","millions","6","v1001696801","1.1.10","403280","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Plus: Interest paid","Dollars","81","millions","6","v1001696802","1.1.11","47900","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Equals: disposable income before payment of interest","Dollars","81","millions","6","v1001696803","1.1.12","451180","","","","0"
"1990-01","Canada","","Seasonally adjusted at annual rates","Total debt payments","Dollars","81","millions","6","v1001696804","1.1.13","54768","","","","0"
